paper_id;Reference;abstract_summary_tr;Title;Year;paper_type;main_contribution;problem;separation_task;channel_configuration;training_dataset;test_dataset;real_or_synthetic_mix;data_augmentation;preprocessing;visualization_type;learning_type;architecture_family;specific_models;loss_function;evaluation_metrics;separation_performance
11;Mitsufuji, Y., Fabbro, G., Uhlich, S., Stöter, F. R., Défossez, A., Kim, M., ... & Cheuk, K. W. (2022). Music demixing challenge 2021. Frontiers in Signal Processing, 1, 808395.;"Bu çal??ma, müzik kaynak ay?rma alan?nda kullan?lan de?erlendirme kampanyalar? ve veri kümelerinin s?n?rl?l?klar?n? ele alarak Music Demixing Challenge’? tan?tmaktad?r. Özellikle MUSDB18 veri kümesinin Bat? pop müzi?ine odakl? yap?s? ve s?n?rl? say?da miks mühendisiyle üretilmi? olmas? nedeniyle ortaya ç?kan önyarg?lara dikkat çekilmektedir. Önerilen yar??ma, farkl? disiplinlerden ara?t?rmac?lar?n kat?l?m?n? kolayla?t?ran bir yap? sunmakta; de?erlendirmeyi yaln?zca organizatörlerin eri?ebildi?i, profesyonelce haz?rlanm?? gizli bir test seti üzerinden gerçekle?tirmektedir. Ayr?ca daha geni? müzik türleri ve daha fazla miks mühendisi içeren bir veri da??l?m? hedeflenmektedir. Çal??ma, bu yar??man?n veri setleri, temel modelleri, de?erlendirme metrikleri ve sonuçlar?n? ayr?nt?l? biçimde sunarak, gelecekteki müzik kaynak ay?rma yar??malar? için metodolojik bir çerçeve sa?lamaktad?r.";Spleeter: A Fast and Efficient Music Source Separation Tool with Pre-trained Models;2019;Conference (ISMIR Late-Breaking/Demo);Introduces Spleeter, an open-source deep learning-based music source separation tool providing pretrained models for 2-, 4-, and 5-stem separation with fast inference suitable for production use;Need for fast, accessible, and high-quality music source separation models for practical and industrial applications;Music source separation (2, 4, and 5 stems: vocals, accompaniment, drums, bass, piano);Stereo (2-channel);Deezer internal multitrack dataset (NG size details);MUSDB18 test set;Real multitrack recordings + internally curated proprietary dataset;"Random mixing of stems; segment cropping (NG detailed parameters)";"STFT magnitude spectrogram input; U-Net architecture predicting soft masks; Wiener filtering post-processing; ISTFT reconstruction";Time-Frequency (magnitude spectrogram);Supervised;CNN-based U-Net;Spleeter (2-stem, 4-stem, 5-stem models);L2 loss on magnitude spectrogram (mask estimation objective);SDR (museval / BSS Eval);"Competitive SDR on MUSDB18 (e.g., ~5.9 dB overall for 4-stem model); significantly faster inference than prior methods"
12;Kong, Q., Cao, Y., Liu, H., Choi, K., & Wang, Y. (2021). Decoupling magnitude and phase estimation with deep resunet for music source separation. arXiv preprint arXiv:2109.05418.;Bu çal??ma, geleneksel sadece genlik (magnitude) temelli müzik kaynak ay?rma yakla??mlar?n?n s?n?rlamalar?n? ele alarak faz bilgisini de do?rudan modelleyen yeni bir yöntem önermektedir. Yazarlar, ay?rma sürecinde complex Ideal Ratio Mask (cIRM) tahminine odaklanarak genlik ve faz bile?enlerini ayr??t?r?lm?? biçimde ö?renmekte ve böylece faz yeniden olu?turma hatalar?n? azaltmaktad?r. Ayr?ca maske de?erlerinin 1 ile s?n?rland?r?lmas?n?n gerçekçi olmad???n? göstererek, 1’in üzerinde genlik de?erlerine izin veren bir ay?rma stratejisi sunmaktad?r. Mimari aç?dan ise çok derin a?lar?n potansiyelini ara?t?rmak amac?yla 143 katmana kadar uzanan residual UNet tasar?m? önerilmektedir. MUSDB18 veri kümesi üzerinde elde edilen sonuçlar, özellikle vokal ay?rmada 8.98 dB SDR ile önceki en iyi sonuçlar? belirgin ?ekilde a?arak yöntemin MSS literatürüne güçlü bir katk? sundu?unu göstermektedir.;Decoupling Magnitude and Phase Estimation with Deep ResUNet for Music Source Separation;2021;Conference (ISMIR);Proposes decoupled magnitude and phase estimation for complex ideal ratio masks (cIRM), introduces combination of bounded mask and direct magnitude prediction, and develops a very deep 143-layer Residual U-Net to improve music source separation performance;"Limitations of magnitude-only mask estimation, bounded mask values, and shallow architectures in music source separation; need for accurate phase modeling and unbounded mask estimation";Music source separation (vocals, accompaniment, bass, drums, other);Stereo (2-channel, 44.1 kHz);"MUSDB18 (86 train, 14 validation from training split; 100 train / 50 test official split)";MUSDB18 test set;Real multitrack recordings;"Mix-audio data augmentation (randomly mixing two 3-second segments from same source except bass); segment cropping (3s)";"STFT (Hann window 2048, hop 441); magnitude and complex mask modeling; waveform reconstruction via iSTFT";Time-Frequency (complex spectrogram with cIRM);Supervised;Deep CNN (Residual U-Net, 143 layers);"ResUNetDecouple+ (143-layer); UNetDecouple+ (33-layer baseline variants)";Waveform-domain L1 loss;"SDR (museval; Vincent et al.)";"State-of-the-art on MUSDB18 at publication; 8.98 dB SDR on vocals; improved performance across bass, drums, other, and accompaniment compared to prior methods"
13;Subakan, C., Ravanelli, M., Cornell, S., Bronzi, M., & Zhong, J. (2021, June). Attention is all you need in speech separation. In ICASSP 2021-2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP) (pp. 21-25). IEEE.;Bu çal??ma, s?ral? hesaplama gereksinimi nedeniyle ölçeklenebilirli?i s?n?rl? olan RNN tabanl? yakla??mlara alternatif olarak, tamamen Transformer tabanl? ve RNN’siz bir konu?ma ay?rma modeli olan SepFormer’? tan?tmaktad?r. SepFormer, çok ölçekli Transformer yap?s? sayesinde k?sa ve uzun dönemli ba??ml?l?klar? birlikte modelleyebilmekte ve böylece konu?ma ay?rma performans?n? art?rmaktad?r. Model, WSJ0-2mix ve WSJ0-3mix veri kümeleri üzerinde state-of-the-art sonuçlara ula??rken, Transformer’lar?n paralelle?tirilebilir yap?s?n? etkin biçimde kullanarak yüksek h?z ve bellek verimlili?i sa?lamaktad?r. Özellikle kodlanm?? temsillerin güçlü biçimde a?a?? örneklenmesine ra?men rekabetçi performans sunmas?, SepFormer’?n verimli ve ölçeklenebilir bir ay?rma mimarisi oldu?unu göstermektedir.;Attention Is All You Need in Speech Separation;2021;Conference (ICASSP);Proposes SepFormer, an RNN-free Transformer-based speech separation architecture using a dual-path multi-scale Transformer masking network to model short- and long-term dependencies, achieving state-of-the-art SI-SNRi on WSJ0-2mix and WSJ0-3mix while improving speed and memory efficiency;Limitations of RNN-based sequence modeling (sequential processing, limited parallelization, high memory usage) in monaural speech separation;Monaural speech separation (2-speaker and 3-speaker mixtures);Single-channel (mono);"WSJ0-2mix (30h train, 10h validation, 5h test); WSJ0-3mix (same protocol)";"WSJ0-2mix test set; WSJ0-3mix test set";Synthetic mixtures created by randomly mixing clean WSJ0 utterances (0–5 dB relative levels);"Dynamic mixing (on-the-fly mixture generation); speed perturbation (95%–105%)";"Time-domain learned encoder (Conv1D, kernel 16, stride 8); chunking with 50% overlap; dual-path processing; layer normalization; positional encoding; overlap-add reconstruction";Waveform (time-domain learned representation);Supervised (Permutation Invariant Training);Transformer (Dual-Path Transformer architecture);SepFormer;Scale-Invariant Signal-to-Noise Ratio (SI-SNR) with utterance-level permutation invariant loss (clipped at 30 dB);"SI-SNRi; SDRi";"WSJ0-2mix: 22.3 dB SI-SNRi and 22.4 dB SDRi (with dynamic mixing); WSJ0-3mix: 19.5 dB SI-SNRi and 19.7 dB SDRi; state-of-the-art at publication time"
14;Hennequin, R., Khlif, A., Voituret, F., & Moussallam, M. (2020). Spleeter: a fast and efficient music source separation tool with pre-trained models. Journal of Open Source Software, 5(50), 2154.;Bu çal??ma, müzik kaynak ay?rma için Spleeter adl?, önceden e?itilmi? modellere sahip, h?zl? ve kullan?c? dostu bir araç sunmaktad?r. TensorFlow tabanl? olan Spleeter, tek bir komutla müzik dosyalar?n? 2, 4 veya 5 stem (ör. vokal, davul, bas, piyano) halinde ay?rabilmekte ve ayn? zamanda mevcut modellerin yeniden e?itilmesine veya ince ayar yap?lmas?na olanak tan?maktad?r. Yay?nlanan önceden e?itilmi? modeller, MUSDB18 üzerinde state-of-the-art’e yak?n performans sergileyerek aç?k kaynakl? araçlar aras?nda öne ç?kmaktad?r. Ayr?ca sistem, tek bir GPU üzerinde gerçek zaman?n çok üzerinde h?zlarda çal??abilmesiyle, ara?t?rma ve pratik uygulamalar için MSS’nin eri?ilebilirli?ini önemli ölçüde art?rmaktad?r.;Spleeter: a fast and efficient music source separation tool with pre-trained models;2020;Journal (JOSS);Releases Spleeter, a fast TensorFlow-based music source separation tool with publicly available pretrained U-Net models for 2-, 4-, and 5-stem separation, achieving near state-of-the-art performance while enabling very high inference speed;Providing an accessible, fast, and high-performing music source separation system with pretrained models for research and industrial use;Music source separation (2, 4, and 5 stems: vocals, drums, bass, piano, other);Stereo (2-channel);"Deezer internal multitrack datasets (including Bean dataset; not publicly released)";MUSDB18 test set;"Real multitrack recordings (training on proprietary real stems; evaluation on MUSDB18)";NG;"STFT magnitude spectrogram input; U-Net encoder-decoder CNN (12 layers); soft masking; optional multi-channel Wiener filtering (Norbert)";Time-Frequency (magnitude spectrogram);Supervised;CNN (U-Net);Spleeter (2-stem, 4-stem, 5-stem pretrained models);L1 loss between masked mixture spectrogram and target source spectrogram;"SDR; SIR; SAR; ISR";"MUSDB18 (4-stem, MWF): Vocals 6.86 dB SDR; Bass 5.51 dB; Drums 6.71 dB; Other 4.55 dB; competitive with Open-Unmix and close to Demucs; ~100× faster than real-time on GPU"
15;Slizovskaia, O., Haro, G., & Gómez, E. (2021). Conditioned source separation for musical instrument performances. IEEE/ACM Transactions on Audio, Speech, and Language Processing, 29, 2083-2095.;Bu çal??ma, ayn? anda çalan birden fazla ve timbral olarak benzer müzik enstrüman?n?n kaynak ay?rma sürecinde yaratt??? zorluklar? ele almaktad?r. Yöntem, yaln?zca ses sinyaline dayal? ay?rma yerine, modele ek ba?lamsal bilgilerle ko?ulland?rma (conditioning) yakla??m?n? önermektedir. Bu kapsamda, enstrümanlar?n kar???mda bulunup bulunmad???na dair bilgiler ve ilgili video ak??? gibi iki ek veri kipli?i kullan?larak ay?rma a??n?n farkl? katmanlar?nda entegrasyon stratejileri incelenmektedir. Sonuçlar, ses d??? bilgilerin uygun ?ekilde modele dahil edilmesinin, özellikle yüksek korelasyona sahip enstrümanlar?n ayr?m?nda ay?rma kalitesini anlaml? biçimde art?rabildi?ini göstermektedir.;Demucs: Deep Extractor for Music Sources with Extra Unlabeled Data Remixed;2019;Conference (ISMIR);Introduces Demucs, a waveform-domain encoder-decoder convolutional architecture with skip connections for end-to-end music source separation, and proposes leveraging additional unlabeled data through realistic remixing to improve performance;Improving music source separation in the waveform domain without relying on spectrogram representations and enhancing performance using extra unlabeled data;Music source separation (4 stems: vocals, drums, bass, other);Stereo (2-channel);MUSDB18-HQ + 800 additional unlabeled songs for remix-based data augmentation;MUSDB18-HQ test set;Real multitrack recordings + synthetic realistic remixes from extra unlabeled data;"Realistic remixing of stems from additional songs; random segment sampling; data balancing strategies";"Raw waveform input; strided convolutional encoder-decoder; bidirectional LSTM in bottleneck; overlap-add at inference";Waveform (time-domain);Supervised;CNN encoder-decoder with BiLSTM bottleneck;Demucs;L1 loss on waveform;SDR (museval / BSS Eval);"7.05 dB SDR on vocals (MUSDB18); competitive with spectrogram-based models; improved performance with extra remix data"
16;Wisdom, S., Tzinis, E., Erdogan, H., Weiss, R., Wilson, K., & Hershey, J. (2020). Unsupervised sound separation using mixture invariant training. Advances in neural information processing systems, 33, 3846-3857.;"Bu çal??ma, sentetik ve etiketli e?itim verilerine ba??ml? olan denetimli kaynak ay?rma yakla??mlar?n?n s?n?rlamalar?n? ele alarak MixIT (Mixture Invariant Training) adl? tamamen denetimsiz bir ö?renme yöntemini önermektedir. MixIT, yaln?zca tek kanall? gerçek kar???mlar? kullanarak e?itilir; e?itim s?ras?nda mevcut kar???mlar yeniden kar??t?r?l?r ve model bu sinyalleri, yeniden birle?tirildi?inde orijinal kar???mlar? yakla??k olarak üreten gizli kaynaklara ay?rmay? ö?renir. Bu yakla??m, gerçek dünya seslerinin akustik çe?itlili?ine daha iyi uyum sa?lamay? mümkün k?lmaktad?r. Çal??ma, MixIT’in konu?ma ay?rmada denetimli yöntemlerle rekabetçi performans sundu?unu ve yar? denetimli kullan?mda alan uyarlamas?, yank?l? konu?ma ay?rma, gürültü giderme ve gerçek ortam verilerinden ö?renme gibi senaryolarda önemli kazan?mlar sa?lad???n? göstermektedir.";Unsupervised Sound Separation Using Mixture Invariant Training;2020;Conference (NeurIPS);Proposes MixIT, a fully unsupervised training framework for single-channel sound separation using mixtures of mixtures and a mixture-invariant loss that generalizes permutation invariant training, enabling competitive performance without ground-truth source signals and strong semi-supervised domain adaptation;Supervised separation relies on synthetic mixtures with clean ground-truth sources, causing domain mismatch and limiting use of real-world unlabeled mixtures;"Single-channel speech separation; speech enhancement; universal sound separation";Single-channel (mono);"WSJ0-2mix; Libri2Mix; reverberant WSJ0-2mix; reverberant Libri2Mix; FUSS (16h); LibriSpeech (for enhancement); YFCC100m (1600h unlabeled); Freesound-derived noise data";"WSJ0-2mix test set; Libri2Mix test set; FUSS test set; YFCC100m evaluation subsets";"Synthetic mixtures (WSJ0-2mix; Libri2Mix; FUSS) + real in-the-wild mixtures (YFCC100m; Freesound); mixture-of-mixtures constructed during training";"Dynamic mixture-of-mixtures construction; random pairing without replacement; supervised/unsupervised mixing ratio sweep; optional zeroing of supervised mixtures (p0)";"Time-domain learned convolutional encoder; TDCN++ (Conv-TasNet style); mask estimation; overlap-add reconstruction; mixture consistency projection";Waveform (time-domain);Unsupervised + Semi-supervised + Supervised (PIT baseline);Time-domain convolutional network (Conv-TasNet / TDCN++ family);"MixIT with TDCN++; PIT baseline with same architecture";"Negative thresholded SNR loss (signal-level); SI-SNR-based objective; permutation/mixture invariant optimization over assignments";"SI-SNR; SI-SNR improvement (SI-SNRi); multi-source SI-SNRi (MSi); single-source SI-SNR (SS); MoMi (mixture-of-mixtures reconstruction metric)";"On WSJ0-2mix, fully unsupervised MixIT achieves performance comparable to supervised PIT (within ~0–3 dB depending on setup); strong gains (2–6 dB SI-SNRi) in domain adaptation with small amounts of matched unsupervised data; speech enhancement: 11.4 dB SI-SNRi (unsupervised) vs 15.0 dB (supervised); FUSS MSi up to 13.3 dB in semi-supervised setting"
17;Hung, Y. N., & Lerch, A. (2020). Multitask learning for instrument activation aware music source separation. arXiv preprint arXiv:2008.00616.;Bu çal??ma, müzik kaynak ay?rma sistemlerinin genellikle yaln?zca ay?rma görevine odaklanmas?n? sorgulayarak, çok görevli (multitask) bir ö?renme yakla??m? önermektedir. Önerilen yap?, kaynak ay?rmay? enstrüman aktivasyon tespiti ile birlikte ele alarak, bu ek bilginin ay?rma kalitesini art?r?p art?ramayaca??n? ara?t?rmaktad?r. Ayr?ca çal??ma, MUSDB’deki s?n?rl? enstrüman say?s?n?n ötesine geçerek alt? ba??ms?z enstrüman içeren daha gerçekçi bir senaryoda de?erlendirme yapmaktad?r. MedleyDB ve Mixing Secrets veri kümelerinin birlikte kullan?ld??? deneyler, multitask modelin Open-Unmix taban çizgisine k?yasla daha iyi performans sa?lad???n? ve ayn? zamanda MUSDB üzerinde rekabetçi sonuçlar? korudu?unu göstermektedir.;Multitask Learning for Instrument Activation Aware Music Source Separation;2020;Conference (ISMIR);Proposes a U-Net-based multitask model (IASS) that jointly learns instrument activation detection and music source separation, and uses predicted instrument activity as a time-frame weight during inference to suppress non-target frames and improve separation quality;"Most source separation systems ignore related MIR tasks; limited instrument categories in MUSDB; need to leverage instrument activation to improve separation and support more instruments";Music source separation (up to 6 instruments: Vocals, Bass, Drums, Electric Guitar, Acoustic Guitar, Piano);"Single-channel (mono; downmixed from stereo for MM dataset; stereo for MUSDB-HQ but processed as magnitude spectrogram)";"MUSDB-HQ (86 train / 14 val / 50 test); MM dataset (MedleyDB + Mixing Secrets; 488 train / 100 test songs)";"MUSDB-HQ test split; MM test split (filtered per instrument presence)";Real multitrack recordings remixed with data augmentation;"Random gain (0.25–1.25); random 6s chunking; random remixing of target + 1–5 accompaniment tracks; loudness normalization (MM)";"STFT magnitude spectrogram (window 4096; hop 1024; 44.1 kHz); U-Net with residual blocks; instrument classifier on latent vector; median filtering of predicted activity; phase reuse for reconstruction";Time-Frequency (magnitude spectrogram);Supervised (multitask learning: separation + instrument activation);CNN U-Net with residual blocks (multitask architecture);"IASS (Instrument Aware Source Separation); Open-Unmix baseline";"MSE loss (source separation) + Binary Cross-Entropy loss (instrument activation); weighted sum L = LMSE + ?LBCE";"SDR; SIR; SAR; ISR (BSS Eval via museval); AUC for instrument activation";"On MUSDB-HQ: IASS improves SDR for Vocals (6.46 vs 6.11) and Drums (5.56 vs 5.02) over Open-Unmix; comparable on Other; slightly lower on Bass; on MM dataset: IASS outperforms Open-Unmix across 6 instruments (e.g., Vocals 4.78 vs 3.68 SDR; Bass 5.26 vs 4.04); median filtering and oracle activity further improve average SDR/SIR/SAR"
18;Manilow, E., Seetharaman, P., & Pardo, B. (2020, May). Simultaneous separation and transcription of mixtures with multiple polyphonic and percussive instruments. In ICASSP 2020-2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP) (pp. 771-775). IEEE.;Bu çal??ma, müzik kaynak ay?rma ve müzik transkripsiyonunu tek bir derin ö?renme mimarisi alt?nda birlikte ele alan Cerberus adl? çok görevli bir yakla??m sunmaktad?r. Cerberus, Chimera a??n? temel alarak buna üçüncü bir transkripsiyon ba?l??? eklemekte ve her görevi farkl? kay?p fonksiyonlar?yla e?iterek ortak bir müzikal temsil ö?renmektedir. Bu sayede model, tek bir a? ile be? enstrümana kadar hem ay?rma hem de insan taraf?ndan okunabilir transkripsiyon üretme yetene?i kazanmaktad?r. Deneyler, ay?rma ve transkripsiyon görevlerinin birbirini tamamlay?c? oldu?unu ve birlikte ö?renildiklerinde her iki görevde de daha iyi performans ve daha güçlü genelleme sa?lad???n? göstermektedir.;Simultaneous Separation and Transcription of Mixtures with Multiple Polyphonic and Percussive Instruments;2020;Conference (ICASSP);Proposes Cerberus, a three-headed deep learning architecture that jointly performs source separation and automatic music transcription by extending the Chimera network with an additional transcription head, demonstrating improved performance and generalization through multitask learning;Learning to jointly separate and transcribe multiple simultaneous polyphonic and percussive instruments from musical mixtures using a shared representation;Music source separation + multi-instrument automatic music transcription (piano-roll per instrument);Single-channel (magnitude spectrogram input);"Slakh2100 (synthetic mixtures with aligned MIDI); additional evaluation mixtures built from MAPS and GuitarSet";"Slakh2100 test splits; constructed MAPS + GuitarSet mixtures (real recordings mixed incoherently)";Synthetic (Slakh2100) + real recordings (MAPS, GuitarSet) for evaluation;"Segment selection with ?10 note onsets; random subset instrument mixing; 5-second segment extraction";"STFT magnitude spectrogram (1024 window, 256 hop, 16 kHz); 4-layer BLSTM stack (300 hidden units each); three output heads (deep clustering, mask inference, transcription); sigmoid/softmax activations; thresholding for piano roll output";Time-Frequency (magnitude spectrogram);Supervised (multitask learning);RNN-based (BLSTM) with multitask heads (Chimera + Transcription);Cerberus (Deep Clustering head + Mask Inference head + Transcription head);Weighted sum of losses: L = ?LDC + ?LMI + ?LTR (Deep Clustering loss + Mask Inference loss + L2 transcription loss);"SDR (scale-dependent); Precision; Recall; F1 (note on/off or onset for drums)";"On Slakh2100 (piano+guitar): up to 10.0 dB SDR with multitask setup; improved transcription F1 (~0.47) compared to single-task models; better generalization on real MAPS+GuitarSet mixtures (e.g., 5.0 dB SDR vs ?4.5 dB for single-task baselines)"
19;Stöter, F. R., Uhlich, S., Liutkus, A., & Mitsufuji, Y. (2019). Open-unmix-a reference implementation for music source separation. Journal of Open Source Software, 4(41), 1667.;"Bu çal??ma, müzik kaynak ay?rma alan?ndaki aç?k kaynak eksikli?ini gidermeyi amaçlayan Open-Unmix adl? bir referans sistemi tan?tmaktad?r. Open-Unmix, derin ö?renme tabanl? state-of-the-art ay?rma performans?n? aç?k kaynak olarak sunarak hem akademik ara?t?rmalar hem de pratik kullan?m için önemli bir bo?lu?u doldurmaktad?r. Sistem, farkl? derin ö?renme çat?lar? için esnek uygulamalar sa?layarak tekrarlanabilir ara?t?rmay? kolayla?t?rmakta; ayn? zamanda önceden e?itilmi? modeller ile son kullan?c?lar?n ve sanatç?lar?n do?rudan kaynak ay?rma yapabilmesine olanak tan?maktad?r. Çal??ma, Open-Unmix’i veri kümeleri, yaz?l?m araçlar? ve aç?k de?erlendirme bile?enleriyle birlikte aç?k ve sürdürülebilir bir müzik kaynak ay?rma ekosisteminin temel yap? ta?? olarak konumland?rmaktad?r.";Open-Unmix - A Reference Implementation for Music Source Separation;2019;Journal (JOSS);Provides an open-source reference implementation of a state-of-the-art deep learning system for music source separation, including pretrained models, reproducible training pipeline, and integration within the sigsep ecosystem to enable standardized benchmarking and research reproducibility;Lack of an open-source state-of-the-art baseline for music source separation, leading to inconsistent comparisons and limited reproducibility in research;Music source separation (4 stems: vocals, drums, bass, other);Stereo (2-channel);"MUSDB18; MUSDB18-HQ";MUSDB18 test set (SiSEC evaluation framework);Real multitrack recordings (MUSDB18);NG;"STFT magnitude spectrogram input; normalization; bidirectional LSTM core; mask estimation; inverse STFT reconstruction; optional multi-channel Wiener filtering (Norbert)";Time-Frequency (magnitude spectrogram);Supervised;RNN-based (BiLSTM);Open-Unmix (UMX);MSE loss between predicted and target magnitude spectrograms (mask-based objective);SDR (SiSEC / museval evaluation);"Reaches state-of-the-art open-source performance on MUSDB18; statistically comparable to best SiSEC system (TAK1); competitive SDR across vocals, drums, bass, and other stems"
20;Meseguer-Brocal, G., & Peeters, G. (2019). Conditioned-U-Net: Introducing a control mechanism in the U-Net for multiple source separations. arXiv preprint arXiv:1907.01277.;Bu çal??ma, her enstrüman için ayr? ayr? e?itilen kaynak ay?rma modellerinin verimsizli?ine çözüm olarak Conditioned-U-Net (C-U-Net) adl? ko?ulland?rmal? bir mimari önermektedir. C-U-Net, standart U-Net yap?s?na kontrol edilebilir bir mekanizma ekleyerek tek bir modelin farkl? enstrümanlar? ay?rabilmesini sa?lamaktad?r. Ay?r?lacak enstrüman, one-hot kodlu bir ko?ulland?rma vektörü ile modele iletilmekte ve bu bilgi FiLM (Feature-wise Linear Modulation) katmanlar? arac?l???yla a??n ara temsillerini yönlendirmektedir. Bu sayede model, farkl? görevler için ayr? a?lar e?itmeye gerek kalmadan, tek bir a? ile özel modellere e?de?er performans sunarken hesaplama ve model maliyetini dü?ürmektedir.;;;;;;;;;;;;;;;;;;;
21;Défossez, A., Usunier, N., Bottou, L., & Bach, F. (2019). Music source separation in the waveform domain. arXiv preprint arXiv:1911.13254.;"Bu çal??ma, müzik kaynak ay?rmada dalga formu (waveform) alan?nda çal??an yakla??mlar? ele alarak, spektrogram-temelli maskelere dayanan yayg?n yöntemlere güçlü bir alternatif sunmaktad?r. Yazarlar, konu?ma ay?rma için geli?tirilen Conv-TasNet’i müzik ay?rmaya uyarlamakta; bu modelin birçok spektrogram yöntemini geçmesine ra?men i?itsel artefaktlar üretti?ini göstermektedir. Buna kar??l?k, U-Net yap?s? ve çift yönlü LSTM içeren yeni bir waveform-to-waveform mimari olan Demucs önerilmektedir. MusDB veri kümesi üzerindeki deneyler, uygun veri art?rma ile Demucs’un mevcut state-of-the-art yöntemleri geride b?rakt???n? ve özellikle do?al ses kalitesi aç?s?ndan insan de?erlendirmelerinde belirgin üstünlük sa?lad???n? ortaya koymaktad?r. Ayr?ca modelin do?ruluk kayb? olmadan s?k??t?r?labilmesi, Demucs’u pratik ve yüksek kaliteli bir çözüm haline getirmektedir; ancak baz? kaynaklar aras?nda (özellikle vokal–di?er) s?n?rl? s?z?nt?lar gözlemlenmektedir.";;;;;;;;;;;;;;;;;;;
22;Kavalerov, I., Wisdom, S., Erdogan, H., Patton, B., Wilson, K., Le Roux, J., & Hershey, J. R. (2019, October). Universal sound separation. In 2019 IEEE Workshop on Applications of Signal Processing to Audio and Acoustics (WASPAA) (pp. 175-179). IEEE.;"Bu çal??ma, konu?ma odakl? geli?tirilmi? derin ö?renme tabanl? ay?rma yöntemlerinin rastgele ve farkl? türde seslerden olu?an kar???mlar için ne ölçüde genellenebilir oldu?unu inceleyerek evrensel ses ay?rma (universal sound separation) problemine odaklanmaktad?r. Bu amaçla, konu?ma ve konu?ma-d??? sesleri içeren yeni bir veri kümesi olu?turulmu? ve farkl? maske-tabanl? mimariler sistematik olarak kar??la?t?r?lm??t?r. Çal??ma, ConvTasNet’ten esinlenen zaman-alan? mimariler ile STFT tabanl? yakla??mlar?; farkl? pencere uzunluklar? ve ö?renilebilir/klasik dönü?üm temsilleri aç?s?ndan analiz etmektedir. Sonuçlar, görev türüne ba?l? olarak farkl? zaman çözünürlüklerinin daha uygun oldu?unu ve evrensel ay?rma senaryosunda STFT tabanl? temsillerin ö?renilebilir temsillerden daha iyi performans gösterdi?ini ortaya koymaktad?r. Önerilen en iyi yöntemler, hem konu?ma/konu?ma-d??? ay?rmada hem de genel ses ay?rmada yüksek SDR kazan?mlar? sa?layarak, evrensel ay?rma için mimari ve temsil seçiminin kritik önemini vurgulamaktad?r.";;;;;;;;;;;;;;;;;;;
23;Manilow, E., Wichern, G., Seetharaman, P., & Le Roux, J. (2019, October). Cutting music source separation some Slakh: A dataset to study the impact of training data quality and quantity. In 2019 IEEE Workshop on Applications of Signal Processing to Audio and Acoustics (WASPAA) (pp. 45-49). IEEE.;Bu çal??ma, müzik kaynak ay?rma ara?t?rmalar?nda kar??la??lan etiketli veri eksikli?ini ele alarak Slakh (Synthesized Lakh) adl? sentetik bir veri kümesini tan?tmaktad?r. Slakh, Lakh MIDI veri kümesindeki parçalar?n profesyonel sanal enstrümanlarla yeniden sentezlenmesi yoluyla olu?turulmu?, yüksek kaliteli kar???mlar ve kar??l?k gelen stem’ler sunmaktad?r. ?lk sürüm olan Slakh2100, MUSDB18’e k?yasla çok daha büyük ölçekli bir veri hacmi sa?layarak veri art?rma ve kar??la?t?rmal? de?erlendirme aç?s?ndan önemli bir avantaj sunmaktad?r. Çal??ma, Slakh’?n mevcut veri kümelerini etkili biçimde tamamlayabildi?ini ve veri yo?un müzik sinyali i?leme görevleri için ölçeklenebilir bir ara?t?rma altyap?s? olu?turdu?unu göstermektedir.;;;;;;;;;;;;;;;;;;;
24;Luo, Y., & Mesgarani, N. (2019). Conv-tasnet: Surpassing ideal time–frequency magnitude masking for speech separation. IEEE/ACM transactions on audio, speech, and language processing, 27(8), 1256-1266.;Bu çal??ma, konu?ma ay?rmada yayg?n olarak kullan?lan zaman–frekans temsillerinin s?n?rlamalar?n? a?mak amac?yla tamamen zaman alan?nda çal??an uçtan uca bir model olan Conv-TasNet’i önermektedir. Conv-TasNet, dalga formunu ö?renilebilir bir do?rusal kodlay?c? ile ay?rmaya elveri?li bir temsile dönü?türmekte, bu temsile uygulanan maskeleme i?lemleriyle konu?mac?lar? ay?rmakta ve ard?ndan do?rusal bir kod çözücü ile tekrar zaman alan?na geri dönmektedir. Modelin merkezinde yer alan seyreltilmi? (dilated) zamansal evri?im bloklar?, uzun dönemli ba??ml?l?klar? dü?ük gecikme ve küçük model boyutu ile ö?renebilmektedir. Deneyler, Conv-TasNet’in hem iki hem de üç konu?mac?l? kar???mlarda önceki zaman–frekans tabanl? yöntemleri belirgin biçimde geride b?rakt???n? ve dü?ük gecikmesi sayesinde gerçek zamanl? uygulamalara uygun güçlü bir çözüm sundu?unu göstermektedir.;;;;;;;;;;;;;;;;;;;
